corpus,stage,engine,preset,elapsed_sec,ocr_total_sec,translate_total_sec,gpu_peak_used_mb,gpu_floor_free_mb,gpu_peak_util_percent,quality_gate_pass,geometry_match_recall,geometry_match_precision,non_empty_retention,ocr_char_error_rate,page_p95_ocr_char_error_rate,ocr_exact_text_match_ratio,translation_similarity_ratio,hard_gate_failures
china,parallel_workers,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-hunyuanocr--gemma-pw1.json,270.771,25.227,209.724,11963,37,97,True,1.0,1.0,1.0,0.0159,0.0345,0.8,0.7951,
china,parallel_workers,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-hunyuanocr--gemma-pw2.json,245.219,20.364,188.928,11961,39,100,True,1.0,1.0,1.0,0.0159,0.0345,0.8,0.7959,
china,parallel_workers,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-hunyuanocr--gemma-pw4.json,262.407,23.115,204.037,11920,80,90,True,1.0,1.0,1.0,0.0159,0.0345,0.8,0.7898,
china,max_completion_tokens,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-hunyuanocr--gemma-mct128.json,228.678,18.404,177.077,11957,43,90,True,1.0,1.0,1.0,0.0159,0.0345,0.8,0.7851,
china,max_completion_tokens,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-hunyuanocr--gemma-mct256.json,207.884,17.394,158.19,11987,13,90,True,1.0,1.0,1.0,0.0159,0.0345,0.8,0.7571,
china,n_gpu_layers,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-hunyuanocr--gemma-ngl80.json,133.841,11.988,88.854,11983,17,94,True,1.0,1.0,1.0,0.0159,0.0345,0.8,0.755,
china,n_gpu_layers,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-hunyuanocr--gemma-ngl99.json,134.536,13.26,87.429,11978,22,94,True,1.0,1.0,1.0,0.0159,0.0345,0.8,0.774,
china,parallel_workers,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-paddleocr-vl--gemma-pw4.json,229.373,85.658,111.149,11977,23,100,True,1.0,1.0,1.0,0.0066,0.0138,0.8444,0.8871,
china,parallel_workers,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-paddleocr-vl--gemma-pw8.json,225.392,88.027,105.219,11977,23,79,True,1.0,1.0,1.0,0.0066,0.0138,0.8444,0.8828,
china,max_new_tokens,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-paddleocr-vl--gemma-mnt512.json,228.48,91.081,105.242,11985,15,85,True,1.0,1.0,1.0,0.0066,0.0138,0.8444,0.873,
china,max_new_tokens,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-paddleocr-vl--gemma-mnt1024.json,229.704,90.477,106.457,11979,21,91,True,1.0,1.0,1.0,0.0066,0.0138,0.8444,0.8453,
china,max_concurrency,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-paddleocr-vl--gemma-conc16.json,219.279,87.092,99.368,11990,10,100,True,1.0,1.0,1.0,0.0066,0.0138,0.8444,0.8581,
china,max_concurrency,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-paddleocr-vl--gemma-conc32.json,229.457,89.867,105.282,11986,14,79,True,1.0,1.0,1.0,0.0066,0.0138,0.8444,0.8436,
china,gpu_memory_utilization,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-paddleocr-vl--gemma-vram080.json,230.541,86.979,110.896,11977,23,81,True,1.0,1.0,1.0,0.0066,0.0138,0.8444,0.8488,
china,gpu_memory_utilization,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo\20260408_005922_ocr-combo-runtime_suite\_generated_presets\china-paddleocr-vl--gemma-vram084.json,227.671,90.846,103.705,11974,26,78,True,1.0,1.0,1.0,0.0066,0.0138,0.8444,0.8715,
